140,入院,ji̍p-īnn/li̍p-īnn,,
141,人參,jîn-sim/lîn-sim,,
142,人情,jîn-tsîng/lîn-tsîng,,
143,人情世事,jîn-tsîng-sè-sū/lîn-tsîng-sè-sū,,
144,入教,ji̍p-kàu/li̍p-kàu,,
145,人望,jîn-bōng/lîn-bōng,,
146,人造,jîn-tsō/lîn-tsō,,
147,刀喙,to-tshuì,,
149,入場,ji̍p-tiûnn/li̍p-tiûnn,,
150,了然,liáu-jiân/liáu-liân,,
151,力量,li̍k-liōng,,
152,刁意故,thiau-ì-kòo,,
153,七爺,Tshit-iâ,,
154,刀銎,to-khing,,
155,又閣,iū-koh,,
156,人影,lâng-iánn,,
157,九層塔,káu-tsàn-thah,,
158,人範,lâng-pān,,
159,人緣,lâng-iân,,
160,入學,ji̍p-o̍h/li̍p-o̍h,,
161,入選,ji̍p-suán/li̍p-suán,,
162,了錢,liáu-tsînn,,
163,人頭,lâng-thâu,,
164,力頭,la̍t-thâu,,
165,入殮,ji̍p-liām/li̍p-liām,,
166,入聲,ji̍p-siann/li̍p-siann,,
167,刁難,thiau-lân,,
168,人權,jîn-khuân/lîn-khuân,,
169,丈,tn̄g,白,一
170,三,sam,文,一
171,三,sann,白,一
172,上,tsiūnn,白,一
173,上,tshiūnn,白,一
174,上,siōng,文,一
175,下,ē,白,一
176,下,hā,文,一
177,下,hē,白,一
178,低,kē,替,人
179,个,ê,,｜
180,丸,uân,,丶
181,久,kú,白,丿
182,么,io,,丿
183,乞,khit,,乙
184,也,iā,,乙
185,亡,bông,,亠
186,凡,huân,,丶
187,凡,huān,,丶
188,千,tshian,文,十
189,千,tshing,白,十
190,叉,tshe,,又
191,口,kháu,白,口
192,土,thóo,,土
193,士,sū,,士
194,大,ta,替,大
195,大,tāi,文,大
196,大,tuā,白,大
197,女,lí/lú,白,女
198,女,lú,文,女
199,子,tsí,白,子
200,子,tsú,文,子
201,子,jí/lí,替,子
202,寸,tshùn,,寸
203,小,siáu,文,小
204,小,sió,白,小
205,山,san,文,山
206,山,suann,白,山
207,工,kang,白,工
208,工,kong,文,工
209,己,kí,文,己
210,巳,tsī,白,己
211,巾,kin/kun,,巾
212,干,kan,,干
213,弓,king,白,弓
214,才,tsâi,,手
215,才,tsiah,替,手
216,才,tshâi,,手
217,下𦜆,ē-ham,,
218,丈人,tiūnn-lâng,,
219,三八,sam-pat,,
220,土人,thóo-lâng,,
221,大人,tāi-jîn/tāi-lîn,,
222,大人,tuā-lâng,,
223,大力,tuā-la̍t,,
224,小人,siáu-jîn/siáu-lîn,,
225,川七,tshuan-tshit,,
226,工人,kang-lâng,,
227,丈人公,tiūnn-lâng-kong,,
228,三七仔,sam-tshit-á,,
229,丈人爸,tiūnn-lâng-pâ,,
230,三八氣,sam-pat-khuì,,
231,丈人媽,tiūnn-lâng-má,,
232,上久,siōng-kú,,
233,上山,tsiūnn-suann,,
234,下山,hā-san,,
235,久久,kú-kú,,
236,大下,tuā-ē,,
237,小口,sió-kháu,,
238,小工,sió-kang,,
239,才子,tsâi-tsú,,
240,大丈夫,tāi-tiōng-hu,,
241,干干仔,kan-kan-á,,
242,三山國王,Sam-san-kok-ông,,
243,千千萬萬,tshian-tshian-bān-bān,,
244,上山頭,tsiūnn-suann-thâu,,
245,丈公,tiūnn-kong,,
246,上元,Siōng-guân,,
247,下元,Hā-guân,,
248,下勻,ē-ûn,,
249,大不了,tāi-put-liáu,,
250,三不五時,sam-put-gōo-sî,,
251,土公仔,thóo-kong-á,,
252,小丑仔,siáu-thiú-á,,
253,土公仔性,thóo-kong-á-sìng,,
254,上元暝,Siōng-guân-mê/Siōng-guân-mî,,
255,上午,siōng-ngóo,,
256,上天,siōng-thian,,
257,上手,tsiūnn-tshiú,,
258,上水,tshiūnn-tsuí,,
259,下午,hā-ngóo,,
260,下手,hē-tshiú,,
261,下手,ē-tshiú,,
262,下水,hā-suí,,
263,土木,thóo-bo̍k,,
264,大方,tāi-hong,,
265,大日,tuā-ji̍t/tuā-li̍t,,
266,大月,tuā-gue̍h/tuā-ge̍h,,
